Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0593230256""","=""9780593230251""",0,4.52,Random House,Hardcover,544,2020,2020,,2020/10/16,to-read,to-read (#17),to-read,,,,0,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",0,4.12,Riverhead Books,Hardcover,343,2020,2020,,2020/09/20,to-read,to-read (#16),to-read,,,,0,0
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.27,Pantheon,Paperback,153,2004,2003,,2020/09/17,to-read,to-read (#15),to-read,,,,0,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",5,4.41,Random House,Kindle Edition,208,2016,2016,,2020/09/16,,,read,,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.01,Penguin Press,Hardcover,246,2019,2019,,2020/09/15,to-read,to-read (#14),to-read,,,,0,0
42925495,Milk Teeth,Amrita Mahale,"Mahale, Amrita",,"=""9387894320""","=""9789387894327""",0,3.78,Westland Publications,Paperback,311,2018,2018,,2020/09/15,to-read,to-read (#13),to-read,,,,0,0
30267604,Ghachar Ghochar,Vivek Shanbhag,"Shanbhag, Vivek",Srinath Perur,"=""014311168X""","=""9780143111689""",0,3.88,Penguin Books,Paperback,118,2017,2013,,2020/07/15,to-read,to-read (#12),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,4.12,Vintage International,Paperback,467,2006,2002,,2020/07/15,currently-reading,currently-reading (#2),currently-reading,,,,1,0
10735428,Mafia Queens of Mumbai: Women Who Ruled the Ganglands,S. Hussain Zaidi,"Zaidi, S. Hussain",Jane Borges,"=""9380283776""","=""9789380283777""",0,3.82,Tranquebar Press,Paperback,290,2011,2011,,2020/07/15,,,read,,,,1,0
20576259,Byculla to Bangkok,S. Hussain Zaidi,"Zaidi, S. Hussain",,"=""9351362256""","=""9789351362258""",0,3.79,HarperCollins,Paperback,277,2014,2014,,2020/07/15,,,read,,,,1,0
